1.017,1.0134,0.95692,1.0004,0.0013152
1.0232,1.0171,0.99986,0.95,0.0014382
1.0638,1.0291,0.93974,0.91305,0.0074318
3.4613,3.3321,0.98549,0.90429,0.0071593
1.0379,1.0311,0.97967,0.95422,0.0015652
1.5598,1.4293,0.93241,0.93891,0.0073676
1.0303,1.0216,0.94603,1.0021,0.0020617
4.8406,4.6728,0.98396,0.91522,0.0054087
2.9729,2.8191,0.96451,0.90594,0.0071873
2.0535,1.881,0.97713,0.9526,0.0022623
2.4161,2.2729,0.93352,0.95942,0.0058163
2.2086,2.1509,0.94008,0.99603,0.0041578
1.8153,1.6751,0.98589,0.91485,0.0054481
2.8312,2.7561,1.1274,1.0255,0.00028059
1.0856,1.0732,1.0175,0.94567,0.0037526
4.0146,3.8599,0.97205,0.91049,0.0071599
1.0673,1.049,0.94329,1.0327,0.0037484
2.9479,2.8225,1.003,0.91631,0.0053932
4.3205,4.1693,1.0029,0.94279,0.0020313
3.4241,3.3868,1.0025,0.95269,0.0013565
2.912,2.7513,0.94625,1.0022,0.002061
3.3913,3.2169,0.98185,0.91102,0.0054373
2.888,2.8772,0.99145,0.94539,0.0022077
3.3936,3.1949,1.1546,1.0042,0.00046729
1.294,1.1389,0.95558,0.96361,0.0054368
1.155,1.0558,0.91665,0.98433,0.0057336
1.7517,1.5769,0.95156,0.95541,0.0050068
1.7401,1.7297,1.0505,1.0302,0.00028177
2.9404,2.7742,0.99222,0.95278,0.0014172
2.3145,2.1753,0.99857,0.9109,0.0053981
1.7834,1.7316,0.98254,0.91367,0.0072014
1.0988,1.1019,1.1779,1.1619,0.0002962
4.4749,4.3923,0.99673,0.9364,0.0041408
1.1779,1.2614,1.1399,1.0304,0.00028058
2.5436,2.3781,0.96938,0.97038,0.0015612
2.4632,2.3582,0.98519,0.9137,0.0054376
4.1905,4.0754,1.0046,0.91722,0.0053675
1.5162,1.509,0.99377,1.0111,0.00084673
